Main Category,Luxury / International Brand,Pakistani Luxury / Designer Brand,Local Affordable Brand (Dupe),Luxury_Price_Range(PKR),Local_Price_Range(PKR),,,Local Dupe Brand Link
Women → Watches,Audemars Piguet,Michael Kors Watches PK,Skmei Watches,"400,000 – 1,500,000","5,000 – 25,000",,,https://skmei-watch.com
Women → Watches,Patek Philippe,Fossil Luxe Collection,Sveston Chronograph,"400,000 – 1,500,000","5,000 – 25,000",,,https://svestonwatches.com
Women → Watches,Bulgari,Citizen High Line,Naviforce Chronograph,"400,000 – 1,500,000","5,000 – 25,000",,,https://naviforcewatch.com
Women → Watches,IWC Schaffhausen,Seiko Luxe Series,Curren Chronograph,"400,000 – 1,500,000","5,000 – 25,000",,,https://currenwatches.com
Women → Watches,Jaeger-LeCoultre,Fossil Smart Line,Tomi Smart Series,"400,000 – 1,500,000","5,000 – 25,000",,,https://tomi.pk
Women → Watches,Hublot,Daniel Klein PK,Q&Q Smart Digital,"400,000 – 1,500,000","5,000 – 25,000",,,https://qq-watch.jp
Women → Watches,Rado,Tissot Classic,Sveston Women Classic,"400,000 – 1,500,000","5,000 – 25,000",,,https://svestonwatches.com
Women → Watches,Chopard,Fossil Hybrid,Naviforce Analog Women,"400,000 – 1,500,000","5,000 – 25,000",,,https://naviforcewatch.com
Women → Watches,Piaget,Michael Kors Smart,Curren Fashion Line,"400,000 – 1,500,000","5,000 – 25,000",,,https://currenwatches.com
Women → Watches,Van Cleef & Arpels,Citizen Diamond Line,Tomi Casual Series,"400,000 – 1,500,000","5,000 – 25,000",,,https://tomi.pk
Women → Watches,Montblanc,Fossil Limited Edition,Skmei Smart Watches,"400,000 – 1,500,000","5,000 – 25,000",,,https://skmei-watch.com
Women → Watches,Gucci Timepieces,Seiko Presage,Sveston Luxe Women,"400,000 – 1,500,000","5,000 – 25,000",,,https://svestonwatches.com
Women → Watches,Dior Timepieces,Fossil PK Elegant,Naviforce Elegant,"400,000 – 1,500,000","5,000 – 25,000",,,https://naviforcewatch.com
Women → Watches,Louis Vuitton Tambour,Citizen Quartz,Curren Casual,"400,000 – 1,500,000","5,000 – 25,000",,,https://currenwatches.com
Women → Watches,Chanel J12,Fossil Fashion,Tomi Trend,"400,000 – 1,500,000","5,000 – 25,000",,,https://tomi.pk
Women → Watches,Hermès Watches,Michael Kors Elegant,Q&Q Fashion Series,"400,000 – 1,500,000","5,000 – 25,000",,,https://qq-watch.jp
Women → Watches,Breitling,Citizen Chronograph,Sveston Chrono Classic,"400,000 – 1,500,000","5,000 – 25,000",,,https://svestonwatches.com
Women → Watches,Raymond Weil,Tissot Ladies Line,Naviforce Ladies,"400,000 – 1,500,000","5,000 – 25,000",,,https://naviforcewatch.com
Women → Watches,Panerai,Seiko 5 PK,Curren Women Casual,"400,000 – 1,500,000","5,000 – 25,000",,,https://currenwatches.com
Women → Watches,Franck Muller,Fossil Dress Line,Tomi Women Watches,"400,000 – 1,500,000","5,000 – 25,000",,,https://tomi.pk
Women → Watches,Baume & Mercier,Citizen Eco-Drive,Skmei Women,"400,000 – 1,500,000","5,000 – 25,000",,,https://skmei-watch.com
Women → Watches,Movado,Fossil Modern Line,Naviforce Sporty,"400,000 – 1,500,000","5,000 – 25,000",,,https://naviforcewatch.com
Women → Watches,Breguet,Seiko Elegance,Curren Smart Casual,"400,000 – 1,500,000","5,000 – 25,000",,,https://currenwatches.com
Women → Watches,Blancpain,Fossil Luxe,Tomi Watches,"400,000 – 1,500,000","5,000 – 25,000",,,https://tomi.pk
Women → Watches,Tag Heuer Carrera,Daniel Wellington Classic,Sveston,"400,000 – 1,500,000","5,000 – 25,000",,,https://svestonwatches.com
