id,name,category,brand,price,image_path,description
51,Watche K,watches,ChicBoutique,296,products\watches\watches_051.jpg,Stylish Watche K from ChicBoutique
52,Watche L,watches,LuxeLine,132,products\watches\watches_052.jpg,Stylish Watche L from LuxeLine
53,Watche M,watches,ChicBoutique,287,products\watches\watches_053.jpg,Stylish Watche M from ChicBoutique
54,Watche N,watches,StyleCo,126,products\watches\watches_054.jpg,Stylish Watche N from StyleCo
55,Watche O,watches,TrendyWear,85,products\watches\watches_055.jpg,Stylish Watche O from TrendyWear
56,Watche P,watches,UrbanStyle,248,products\watches\watches_056.jpg,Stylish Watche P from UrbanStyle
57,Watche Q,watches,FashionHub,138,products\watches\watches_057.jpg,Stylish Watche Q from FashionHub
58,Watche R,watches,UrbanStyle,268,products\watches\watches_058.jpg,Stylish Watche R from UrbanStyle
59,Watche S,watches,ClassicWear,109,products\watches\watches_059.jpg,Stylish Watche S from ClassicWear
60,Watche T,watches,ModernLook,100,products\watches\watches_060.jpg,Stylish Watche T from ModernLook
61,Clothin A,clothing,LuxeLine,42,products\clothing\clothing_061.jpg,Stylish Clothin A from LuxeLine
62,Clothin B,clothing,FashionHub,65,products\clothing\clothing_062.jpg,Stylish Clothin B from FashionHub
63,Clothin C,clothing,ChicBoutique,93,products\clothing\clothing_063.jpg,Stylish Clothin C from ChicBoutique
64,Clothin D,clothing,LuxeLine,93,products\clothing\clothing_064.jpg,Stylish Clothin D from LuxeLine
65,Clothin E,clothing,LuxeLine,134,products\clothing\clothing_065.jpg,Stylish Clothin E from LuxeLine
66,Clothin F,clothing,LuxeLine,31,products\clothing\clothing_066.jpg,Stylish Clothin F from LuxeLine
67,Clothin G,clothing,FashionHub,83,products\clothing\clothing_067.jpg,Stylish Clothin G from FashionHub
68,Clothin H,clothing,ElegantStyle,40,products\clothing\clothing_068.jpg,Stylish Clothin H from ElegantStyle
69,Clothin I,clothing,CasualVibes,65,products\clothing\clothing_069.jpg,Stylish Clothin I from CasualVibes
70,Clothin J,clothing,FashionHub,53,products\clothing\clothing_070.jpg,Stylish Clothin J from FashionHub
71,Clothin K,clothing,UrbanStyle,37,products\clothing\clothing_071.jpg,Stylish Clothin K from UrbanStyle
72,Clothin L,clothing,StyleCo,150,products\clothing\clothing_072.jpg,Stylish Clothin L from StyleCo
73,Clothin M,clothing,FashionHub,22,products\clothing\clothing_073.jpg,Stylish Clothin M from FashionHub
74,Clothin N,clothing,ElegantStyle,102,products\clothing\clothing_074.jpg,Stylish Clothin N from ElegantStyle
75,Clothin O,clothing,ElegantStyle,64,products\clothing\clothing_075.jpg,Stylish Clothin O from ElegantStyle
76,Clothin P,clothing,UrbanStyle,103,products\clothing\clothing_076.jpg,Stylish Clothin P from UrbanStyle
77,Clothin Q,clothing,UrbanStyle,101,products\clothing\clothing_077.jpg,Stylish Clothin Q from UrbanStyle
78,Clothin R,clothing,FashionHub,30,products\clothing\clothing_078.jpg,Stylish Clothin R from FashionHub
79,Clothin S,clothing,UrbanStyle,115,products\clothing\clothing_079.jpg,Stylish Clothin S from UrbanStyle
80,Clothin T,clothing,ElegantStyle,26,products\clothing\clothing_080.jpg,Stylish Clothin T from ElegantStyle
81,Accessorie A,accessories,TrendyWear,86,products\accessories\accessories_081.jpg,Stylish Accessorie A from TrendyWear
82,Accessorie B,accessories,StyleCo,25,products\accessories\accessories_082.jpg,Stylish Accessorie B from StyleCo
83,Accessorie C,accessories,ModernLook,72,products\accessories\accessories_083.jpg,Stylish Accessorie C from ModernLook
84,Accessorie D,accessories,CasualVibes,70,products\accessories\accessories_084.jpg,Stylish Accessorie D from CasualVibes
85,Accessorie E,accessories,CasualVibes,48,products\accessories\accessories_085.jpg,Stylish Accessorie E from CasualVibes
86,Accessorie F,accessories,StyleCo,99,products\accessories\accessories_086.jpg,Stylish Accessorie F from StyleCo
87,Accessorie G,accessories,ModernLook,73,products\accessories\accessories_087.jpg,Stylish Accessorie G from ModernLook
88,Accessorie H,accessories,LuxeLine,74,products\accessories\accessories_088.jpg,Stylish Accessorie H from LuxeLine
89,Accessorie I,accessories,ModernLook,70,products\accessories\accessories_089.jpg,Stylish Accessorie I from ModernLook
90,Accessorie J,accessories,ModernLook,79,products\accessories\accessories_090.jpg,Stylish Accessorie J from ModernLook
91,Accessorie K,accessories,UrbanStyle,21,products\accessories\accessories_091.jpg,Stylish Accessorie K from UrbanStyle
92,Accessorie L,accessories,UrbanStyle,32,products\accessories\accessories_092.jpg,Stylish Accessorie L from UrbanStyle
93,Accessorie M,accessories,LuxeLine,76,products\accessories\accessories_093.jpg,Stylish Accessorie M from LuxeLine
94,Accessorie N,accessories,UrbanStyle,32,products\accessories\accessories_094.jpg,Stylish Accessorie N from UrbanStyle
95,Accessorie O,accessories,ElegantStyle,53,products\accessories\accessories_095.jpg,Stylish Accessorie O from ElegantStyle
96,Accessorie P,accessories,ModernLook,55,products\accessories\accessories_096.jpg,Stylish Accessorie P from ModernLook
97,Accessorie Q,accessories,FashionHub,67,products\accessories\accessories_097.jpg,Stylish Accessorie Q from FashionHub
98,Accessorie R,accessories,ModernLook,49,products\accessories\accessories_098.jpg,Stylish Accessorie R from ModernLook
99,Accessorie S,accessories,ElegantStyle,63,products\accessories\accessories_099.jpg,Stylish Accessorie S from ElegantStyle
100,Accessorie T,accessories,LuxeLine,72,products\accessories\accessories_100.jpg,Stylish Accessorie T from LuxeLine
